name,group,install,first_post_window,ti_died,days_in_field_at_death,ti_before,st_at_death,prior_episodes,posts_after_death,last_post,dark_days,id
72381294,All,?,2025-09-30,2025-09-30,?,?,10185,-1,2,2025-09-30,348,b55e4350-9e63-11f0-b5af-5dfa9891b485
68618576,All,?,2025-05-05,2025-09-09,?,150,10270,32,1,2025-09-09,369,be2500c0-0456-11f0-92a4-09772dfb61f8
72390576,All,?,2025-09-24,2026-03-27,?,209,15004,6,57,2026-03-30,167,c13cce70-994b-11f0-b5af-5dfa9891b485
65831060,All,?,2025-05-02,2026-05-21,?,260,16022,3,18,2026-06-23,82,c2032980-c746-11ef-8f43-73c96c0de66f
72392200,All,?,2025-09-23,2026-05-24,?,260,16022,2,14,2026-07-05,70,c7c88870-98eb-11f0-b5af-5dfa9891b485
70262470,All,?,2025-09-30,2025-09-30,?,?,10185,-1,2,2025-09-30,348,c9de6020-9e7d-11f0-b5af-5dfa9891b485
72391590,All,?,2025-09-30,2025-09-30,?,?,10185,-1,2,2025-09-30,348,cd714ae0-9e7d-11f0-b5af-5dfa9891b485
72381484,All,?,2025-10-14,2025-10-14,?,159,10290,0,1,2025-10-14,334,ce5a4310-a938-11f0-98a7-c3bc57f9afe3
70265838,All,?,2025-10-14,2025-10-14,?,?,10185,-1,7,2025-10-14,334,cf42a740-a938-11f0-98a7-c3bc57f9afe3
68618345,All,?,?,?,?,?,?,0,0,10/10 13:29,703,d2ae3330-632b-11ef-82e8-31b9269e53c6
68588167,GenII Pilot,?,?,?,?,?,?,0,0,11/07 14:26,675,d79cbb30-9ca3-11ef-82ac-6ff8f1723c66
68618725,All,?,?,?,?,?,?,0,0,11/23 14:28,659,db865d00-55cc-11ef-af06-d3314982468b
72383282,All,?,2025-09-23,2026-04-21,?,51920,15130,3,300,2026-07-08,67,e1bf4a50-98e8-11f0-b5af-5dfa9891b485
68612439,GenII Eng,?,?,?,?,?,?,0,0,11/21 12:18,661,e36041f0-8a5e-11ef-b1d9-ff37f0a7cd32
68618527,GenII Eng,?,?,?,?,?,?,0,0,10/15 12:30,698,e4f09fd0-6edc-11ef-b1d9-ff37f0a7cd32
72379520,All,?,2025-09-30,2025-09-30,?,?,10185,-1,2,2025-09-30,348,e5bf1050-9e7d-11f0-b5af-5dfa9891b485
72385261,All,?,2025-09-23,2026-05-02,?,20632,15130,7,49,2026-07-08,67,e6ef08e0-98ab-11f0-b5af-5dfa9891b485
70259211,All,?,2025-09-30,2025-09-30,?,?,10185,-1,2,2025-09-30,348,e750acd0-9e7d-11f0-b5af-5dfa9891b485
72382862,All,?,2025-09-30,2025-09-30,?,?,10185,-1,2,2025-09-30,348,ee5fe150-9e62-11f0-b5af-5dfa9891b485
72713995,All,?,2025-12-12,2026-07-24,?,181,10300,0,1,2026-07-24,50,fac742a0-d79f-11f0-b691-d965a62fa4fa
72386723,RMA - Bad,?,2025-08-29,2025-11-23,?,159,10292,0,3,2025-12-01,286,6d4a79e0-84e5-11f0-8b4a-0d0197d44616
72378613,RMA - Bad,?,2025-08-28,2025-12-08,?,149,10270,0,8,2025-12-14,273,3283d590-8431-11f0-8b4a-0d0197d44616
72390394,RMA - Bad,?,2025-08-28,2025-12-16,?,149,10270,1,18,2025-12-26,261,5c328e90-842c-11f0-8b4a-0d0197d44616
72382870,RMA - Bad,?,2025-08-28,2025-12-26,?,119,10222,0,1,2025-12-26,261,50a9f0a0-842b-11f0-8b4a-0d0197d44616
72378894,RMA - Bad,?,2025-08-28,2025-12-15,?,149,10270,0,4,2025-12-15,272,19475310-8420-11f0-8b4a-0d0197d44616
72390014,RMA - Bad,?,2025-08-27,2025-09-28,?,149,10270,0,16,2025-10-16,332,3442ba50-8386-11f0-8b4a-0d0197d44616
72381013,RMA - Bad,?,2025-08-26,2026-01-13,?,159,10300,0,955,2026-02-11,214,8c510640-82e4-11f0-8b4a-0d0197d44616
70267289,RMA - Bad,?,2025-07-16,2025-09-29,?,119,10222,0,6,2025-12-30,257,de14f450-62a0-11f0-8658-7f4e94e41769
70260508,RMA - Bad,?,2025-07-16,2026-01-15,?,159,10300,0,3,2026-01-15,241,44942640-629e-11f0-8658-7f4e94e41769
70261357,RMA - Bad,?,2025-06-26,2026-01-16,?,159,10300,0,5,2026-01-16,240,16487090-52c0-11f0-acb1-514e01860b07
77058958,RMA - Bad,?,2025-06-25,2026-01-15,?,159,10300,1,10,2026-01-19,237,9c198b70-524b-11f0-acb1-514e01860b07
77059311,RMA - Bad,?,2025-06-25,2025-11-22,?,137,10253,0,6,2025-11-28,288,d09ace40-5246-11f0-acb1-514e01860b07
70259609,RMA - Bad,?,2025-06-25,2026-01-11,?,137,10253,0,1,2026-01-11,245,6613d710-5246-11f0-acb1-514e01860b07
77056465,RMA - Bad,?,2025-05-19,2025-09-28,?,131,10222,0,1,2025-09-28,350,a5939150-34d7-11f0-8e55-b138a1c03c8e
77052027,RMA - Bad,?,2025-05-02,2026-04-15,?,209,362,1,3,2026-04-15,151,15352aa0-26b4-11f0-8272-45e3ef110760
77041798,RMA - Bad,?,2025-05-02,2026-04-16,?,159,10295,0,1,2026-04-16,150,7aa6bf20-269b-11f0-8272-45e3ef110760
77059055,RMA - Bad,?,2025-05-02,2026-07-17,?,159,10295,0,2,2026-07-24,51,9ca229f0-2639-11f0-8272-45e3ef110760
77053918,RMA - Bad,?,2025-05-02,2026-07-17,?,181,10295,1,5,2026-07-24,51,936ed130-2639-11f0-8272-45e3ef110760
65825179,RMA - Bad,?,2025-05-02,2026-02-28,?,181,362,1,33,2026-03-23,174,91db6a20-25f0-11f0-8272-45e3ef110760
77029587,RMA - Bad,?,2025-05-02,2026-07-18,?,159,10288,0,2,2026-07-24,51,8bdf4790-25f0-11f0-8272-45e3ef110760
65822044,RMA - Bad,?,2025-05-02,2026-01-16,?,180,10316,0,2,2026-01-16,240,323c7490-01d5-11f0-92a4-09772dfb61f8
65824602,RMA - Bad,?,2025-05-02,2026-01-31,?,149,10268,0,5,2026-01-31,224,1dc14c40-e4dc-11ef-a76f-4d93d4a482f0
68593159,RMA - Bad,?,2025-05-02,2025-05-02,?,?,10182,-1,887,2026-02-01,224,b3cac680-c795-11ef-8f43-73c96c0de66f
65828876,RMA - Bad,?,2025-05-06,2025-05-06,?,?,10184,-1,46,2025-12-01,286,aa99dec0-c795-11ef-8f43-73c96c0de66f
65831672,RMA - Bad,?,2025-05-06,2026-02-09,?,102,10216,0,6,2026-02-10,214,4fae4fa0-c78b-11ef-8f43-73c96c0de66f
65823174,RMA - Bad,?,2025-05-02,2026-02-06,?,102,10215,0,1,2026-02-06,219,d51d7390-c746-11ef-8f43-73c96c0de66f
